
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:32 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        BANDWIDTH
Shine Servers Llp (6)                                    7680582 (0.0%)
Lucky Net Ltd (3)                                        7678350 (0.0%)
Inter Connects Inc (2)                                   7647641 (0.0%)
EPB Fiber Optics (1)                                     7637760 (0.0%)
Avolo Telecom Srl (2)                                    7600181 (0.0%)
Content Delivery Network Ltd (4)                         7500879 (0.0%)
Boston University (1)                                    7462600 (0.0%)
InterBS S.R.L. (BAEHOST) (9)                             7429876 (0.0%)
Master Internet s.r.o. (4)                               7411795 (0.0%)
Login, Inc. (2)                                          7399431 (0.0%)
Internetport Sweden AB (3)                               7374374 (0.0%)
Elisa Oyj (10)                                           7324767 (0.0%)
NetsurfUSA, Inc. (1)                                     7301324 (0.0%)
Adamo Telecom Iberia S.A. (1)                            7084147 (0.0%)
BiConsult Eood (1)                                       7005770 (0.0%)
Webpass Inc. (2)                                         6950025 (0.0%)
Kyivstar PJSC (5)                                        6921459 (0.0%)
ACE Telecom Kft (1)                                      6871040 (0.0%)
sol.net Network Services (2)                             6861626 (0.0%)
RamNode LLC (10)                                         6857970 (0.0%)
Condointernet.net (2)                                    6793649 (0.0%)
MTS PJSC (4)                                             6755904 (0.0%)
Info Data Center Ltd. (1)                                6647808 (0.0%)
iWelt AG (1)                                             6618974 (0.0%)
Get AS (4)                                               6607775 (0.0%)
Sorta-hosting-smllc (2)                                  6590717 (0.0%)
IP-Only Networks AB (2)                                  6563065 (0.0%)
OOO Post ltd (1)                                         6544344 (0.0%)
home.pl S.A. (2)                                         6450292 (0.0%)
wilhelm.tel GmbH (7)                                     6436573 (0.0%)
Sonic Telecom LLC (3)                                    6400117 (0.0%)
Levonline AB (1)                                         6388367 (0.0%)
Input Output Flood LLC (5)                               6368641 (0.0%)
DAOU TECHNOLOGY (5)                                      6321731 (0.0%)
IM Level 7 SRL (1)                                       6285599 (0.0%)
Inetcom LLC (2)                                          6253054 (0.0%)
New Dream Network, LLC (4)                               6250953 (0.0%)
DIGI Tavkozlesi es Szolgaltato Kft. (2)                  6239150 (0.0%)
dao Consulting, LLC (1)                                  6196918 (0.0%)
Verixi Sprl (1)                                          6149660 (0.0%)
Free Software Foundation, Inc. (1)                       6140552 (0.0%)
Sternforth Ltd. (2)                                      6138673 (0.0%)
ATW Internet Kft. (1)                                    6133760 (0.0%)
Petersburg Internet Network ltd. (2)                     6127130 (0.0%)
Internode Pty Ltd (6)                                    6090493 (0.0%)
OJSC Comcor (1)                                          6023492 (0.0%)
Centrilogic, Inc. (3)                                    6000390 (0.0%)
RackBank Datacenters Private Ltd (5)                     5954932 (0.0%)
Jsc ru-center (1)                                        5923219 (0.0%)
University of Utah (3)                                   5890545 (0.0%)
TekSavvy Solutions, Inc. (11)                            5861073 (0.0%)
Quickline AG (9)                                         5821961 (0.0%)
University of Washington (1)                             5733733 (0.0%)
Vodafone Portugal - Communicacoes Pessoais S.A. (2)      5686974 (0.0%)
Telecom Italia (6)                                       5603323 (0.0%)
UAB Porenta (1)                                          5565421 (0.0%)
Brezhnev D.S. PE (1)                                     5502976 (0.0%)
Szervernet Ltd (1)                                       5420727 (0.0%)
Maxnet Telecom, Ltd (1)                                  5385951 (0.0%)
Host Sailor Ltd. (3)                                     5291402 (0.0%)
Level 3 Communications, Inc. (5)                         5207255 (0.0%)
PLANET IC GmbH (1)                                       5196465 (0.0%)
IT Expert LLC (4)                                        5189700 (0.0%)
Art Invest Ltd (1)                                       5117391 (0.0%)
HighSpeed Office Limited (2)                             5069880 (0.0%)
OOO NI (2)                                               5008137 (0.0%)
Next point Host EOOD. (4)                                4944332 (0.0%)
ADISTA SAS (1)                                           4928410 (0.0%)
K Telecom (1)                                            4876676 (0.0%)
Metronet (1)                                             4844316 (0.0%)
Hostinger International Limited (5)                      4837020 (0.0%)
BRIGHT HOUSE NETWORKS, LLC (3)                           4817723 (0.0%)
Dynamic ASP Inc. (1)                                     4810880 (0.0%)
JSC Mediasoft ekspert (2)                                4810306 (0.0%)
WEST CALL SPb LLC (1)                                    4757258 (0.0%)
Host Palace Internet Services (1)                        4740096 (0.0%)
Cyberverse, Inc. (1)                                     4717473 (0.0%)
Northeastern University (20)                             4646483 (0.0%)
Kabel BW (14)                                            4618119 (0.0%)
