
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NUMBER

AS (records)      CONSENSUS_WEIGHT_FRAC
================  =============================================================
AS9371 (1)        0.0%
AS20278 (1)       0.0%
AS2519 (1)        0.0%
AS4760 (2)        0.0%
AS13101 (1)       0.0%
AS12897 (2)       0.0%
AS9158 (1)        0.0%
AS63916 (2)       0.0%
AS55933 (9)       0.0%
AS7477 (3)        0.0%
AS18881 (3)       0.0%
AS35549 (1)       0.0%
AS63734 (1)       0.0%
AS37515 (1)       0.0%
AS14051 (1)       0.0%
AS38987 (1)       0.0%
AS200429 (2)      0.0%
AS136052 (2)      0.0%
AS33182 (3)       0.0%
AS39857 (1)       0.0%
AS47987 (1)       0.0%
AS14828 (1)       0.0%
AS5617 (2)        0.0%
AS38478 (1)       0.0%
AS855 (1)         0.0%
AS13124 (1)       0.0%
AS132405 (1)      0.0%
AS41676 (1)       0.0%
AS25853 (1)       0.0%
AS38197 (1)       0.0%
AS36493 (1)       0.0%
AS42038 (1)       0.0%
AS45102 (1)       0.0%
AS42298 (1)       0.0%
AS32867 (1)       0.0%
AS36436 (2)       0.0%
AS12334 (1)       0.0%
AS5769 (2)        0.0%
AS25255 (1)       0.0%
AS137 (1)         0.0%
AS11796 (1)       0.0%
AS13886 (1)       0.0%
AS34779 (1)       0.0%
AS9381 (1)        0.0%
AS63962 (1)       0.0%
AS43234 (1)       0.0%
AS60257 (1)       0.0%
AS47850 (1)       0.0%
AS8400 (1)        0.0%
AS21021 (2)       0.0%
AS10013 (1)       0.0%
AS45146 (1)       0.0%
AS12576 (2)       0.0%
AS786 (1)         0.0%
AS14868 (1)       0.0%
AS28220 (1)       0.0%
AS57611 (1)       0.0%
AS34610 (1)       0.0%
AS6471 (1)        0.0%
AS2152 (1)        0.0%
AS35205 (1)       0.0%
AS57423 (1)       0.0%
AS14361 (1)       0.0%
AS29075 (1)       0.0%
AS263604 (1)      0.0%
AS18403 (1)       0.0%
AS28271 (1)       0.0%
AS11492 (3)       0.0%
AS41046 (1)       0.0%
AS59432 (1)       0.0%
AS6772 (2)        0.0%
AS49368 (1)       0.0%
AS9198 (2)        0.0%
AS197288 (2)      0.0%
AS16097 (1)       0.0%
